MPG,Tenaga Mesin,Berat Dalam LBS,Kapasitas Mesin,Irit atau Boros
18.0,130.0,3504,307.0,0
15.0,165.0,3693,350.0,0
18.0,150.0,3436,318.0,0
16.0,150.0,3433,304.0,0
17.0,140.0,3449,302.0,0
15.0,198.0,4341,429.0,0
14.0,220.0,4354,454.0,0
14.0,215.0,4312,440.0,0
14.0,225.0,4425,455.0,0
15.0,190.0,3850,390.0,0
15.0,170.0,3563,383.0,0
14.0,160.0,3609,340.0,0
15.0,150.0,3761,400.0,0
14.0,225.0,3086,455.0,0
24.0,95.0,2372,113.0,1
22.0,95.0,2833,198.0,0
18.0,97.0,2774,199.0,0
21.0,85.0,2587,200.0,0
27.0,88.0,2130,97.0,1
26.0,46.0,1835,97.0,1
25.0,87.0,2672,110.0,1
24.0,90.0,2430,107.0,1
25.0,95.0,2375,104.0,1
26.0,113.0,2234,121.0,1
21.0,90.0,2648,199.0,0
10.0,215.0,4615,360.0,0
10.0,200.0,4376,307.0,0
11.0,210.0,4382,318.0,0
9.0,193.0,4732,304.0,0
27.0,88.0,2130,97.0,1
28.0,90.0,2264,140.0,1
25.0,95.0,2228,113.0,1
19.0,100.0,2634,232.0,0
16.0,105.0,3439,225.0,0
17.0,100.0,3329,250.0,0
19.0,88.0,3302,250.0,0
18.0,100.0,3288,232.0,0
14.0,165.0,4209,350.0,0
14.0,175.0,4464,400.0,0
14.0,153.0,4154,351.0,0
14.0,150.0,4096,318.0,0
12.0,180.0,4955,383.0,0
13.0,170.0,4746,400.0,0
13.0,175.0,5140,400.0,0
18.0,110.0,2962,258.0,0
22.0,72.0,2408,140.0,0
19.0,100.0,3282,250.0,0
18.0,88.0,3139,250.0,0
23.0,86.0,2220,122.0,1
28.0,90.0,2123,116.0,1
30.0,70.0,2074,79.0,1
30.0,76.0,2065,88.0,1
31.0,65.0,1773,71.0,1
35.0,69.0,1613,72.0,1
27.0,60.0,1834,97.0,1
26.0,70.0,1955,91.0,1
24.0,95.0,2278,113.0,1
25.0,80.0,2126,97.5,1
23.0,54.0,2254,97.0,1
20.0,90.0,2408,140.0,0
21.0,86.0,2226,122.0,0
13.0,165.0,4274,350.0,0
14.0,175.0,4385,400.0,0
15.0,150.0,4135,318.0,0
14.0,153.0,4129,351.0,0
17.0,150.0,3672,304.0,0
